carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.8,2,3,4,62.1,54.0,5.96,5.99,3.71,2205.4
0.28,4,5,7,60.1,59.0,4.24,4.25,2.55,650.2
0.34,3,6,3,60.5,60.1,4.5,4.53,2.73,650.8
0.3,4,6,4,62.6,58.0,4.25,4.28,2.67,629.8
0.85,2,6,2,62.8,57.0,6.06,6.01,3.79,3811.0
1.0,4,6,3,60.9,59.0,6.38,6.43,3.9,5571.6
0.41,5,4,4,62.6,59.0,4.73,4.76,2.97,799.8
1.5,5,4,4,60.3,60.0,7.34,7.26,4.4,12387.2
0.72,4,3,2,63.3,57.0,5.7,5.67,3.6,2153.2
0.33,5,4,5,62.0,59.0,4.42,4.36,2.72,729.0
0.39,2,6,8,61.5,55.5,4.68,4.72,2.88,1279.2
0.4,2,6,4,61.4,57.0,4.78,4.75,2.92,886.4
1.01,3,5,3,63.5,59.0,6.29,6.38,4.02,5140.6
1.02,2,2,2,60.6,56.0,6.57,6.53,3.97,4633.0
1.01,2,7,3,63.0,56.0,6.36,6.41,4.02,5533.2
0.7,2,5,3,61.8,56.0,5.68,5.75,3.53,2733.2
0.57,4,5,4,59.5,57.0,5.39,5.43,3.22,1558.8
1.5,4,5,3,63.9,58.0,7.12,7.16,4.56,10676.4
1.01,5,1,2,59.3,56.0,6.51,6.45,3.84,3298.8
0.51,2,7,4,61.2,55.0,5.17,5.13,3.15,1844.0
1.0,5,6,2,61.7,58.0,6.39,6.34,3.93,4356.2
0.71,5,6,7,62.5,57.0,5.67,5.62,3.53,2947.2
0.52,4,7,6,59.8,55.0,5.28,5.35,3.18,1318.0
0.4,3,2,8,62.3,62.0,4.69,4.72,2.93,929.8
0.81,5,2,6,62.9,59.0,5.95,5.84,3.71,3179.2
0.53,2,5,6,61.3,55.0,5.23,5.27,3.22,1984.0
2.02,5,2,2,59.4,59.0,8.25,8.21,4.89,13595.0
2.11,2,2,3,61.0,57.0,8.37,8.29,5.08,16458.2
1.15,2,7,4,58.5,57.0,6.96,6.93,4.06,6699.8
0.7,5,2,6,60.1,59.0,5.8,5.72,3.46,2207.2
1.07,5,5,3,61.7,56.0,6.66,6.5,4.06,5200.8
0.56,2,3,3,61.9,54.0,5.3,5.33,3.29,1161.4
1.74,2,4,4,62.9,57.0,7.68,7.64,4.82,12876.4
0.31,4,4,6,62.2,56.0,4.31,4.34,2.69,529.0
0.5,4,3,6,62.9,56.0,5.03,5.08,3.18,1126.0
1.07,2,7,6,60.3,56.0,6.63,6.68,4.01,11476.6
0.3,5,4,5,61.8,59.0,4.37,4.34,2.69,716.8
0.51,2,6,3,62.1,55.0,5.09,5.15,3.18,1510.2
0.91,4,4,3,63.5,58.0,6.15,6.04,3.87,4445.8
0.3,4,3,3,61.3,58.0,4.29,4.33,2.64,559.4
0.7,2,5,4,61.0,55.0,5.74,5.79,3.52,2883.2
0.76,2,7,5,61.7,56.0,5.84,5.87,3.61,3949.2
1.15,2,2,5,61.3,56.0,6.74,6.76,4.14,6743.4
1.47,5,1,2,60.0,58.0,7.36,7.31,4.4,6510.8
1.2,2,4,3,61.8,59.0,6.77,6.8,4.19,6621.4
1.07,2,6,3,60.4,57.0,6.62,6.56,3.98,5269.4
1.01,2,5,3,62.0,54.0,6.41,6.49,4.0,5668.2
0.28,5,4,6,60.2,60.0,4.24,4.26,2.56,846.8
2.27,5,3,2,60.7,59.0,8.5,8.45,5.15,15103.6
0.4,5,7,4,61.7,59.0,4.75,4.72,2.92,948.8
0.39,4,1,5,63.5,58.0,4.64,4.59,2.93,591.8
1.14,5,3,2,60.6,59.0,6.8,6.77,4.11,4471.4
0.53,2,6,7,61.9,55.0,5.2,5.21,3.22,2647.4
0.4,2,2,2,61.0,58.0,4.74,4.77,2.9,722.6
0.58,5,3,4,59.7,59.0,5.42,5.33,3.21,1497.8
0.7,5,7,3,61.2,58.0,5.74,5.7,3.5,2592.4
0.55,2,3,8,61.5,55.0,5.25,5.29,3.25,2242.4
0.72,4,2,4,63.3,57.0,5.66,5.72,3.6,2684.6
0.3,2,5,3,62.3,53.9,4.28,4.31,2.68,543.6
1.02,2,3,3,61.9,57.0,6.46,6.4,3.98,5230.2
0.51,4,2,3,63.5,55.0,5.07,5.11,3.23,952.6
0.65,5,6,2,62.6,59.0,5.54,5.49,3.45,2374.2
1.07,2,3,3,61.1,56.0,6.63,6.6,4.04,5294.2
0.43,2,4,7,61.8,55.0,4.87,4.9,3.02,1182.0
0.32,5,2,8,60.3,58.0,4.41,4.45,2.67,845.0
0.28,4,5,4,62.7,58.0,4.14,4.15,2.6,571.8
1.7,4,4,4,62.6,57.0,7.6,7.67,4.78,13448.0
0.51,4,2,3,62.5,58.0,5.05,5.12,3.18,666.8
0.71,2,7,4,60.4,57.0,5.77,5.82,3.5,2654.2
0.4,5,6,4,62.0,58.0,4.73,4.69,2.92,942.2
0.9,2,4,3,60.2,56.0,6.24,6.29,3.77,3770.2
0.59,3,5,5,60.5,61.0,5.43,5.5,3.31,2381.4
1.19,5,7,2,58.6,61.0,6.93,6.89,4.05,5041.0
0.51,5,4,4,61.3,59.0,5.17,5.11,3.15,1125.8
0.5,4,6,4,61.8,57.0,5.05,5.11,3.14,1486.4
1.01,1,3,2,64.9,56.0,6.33,6.25,4.08,3203.6
0.63,5,6,5,60.4,58.0,5.59,5.64,3.39,2137.4
0.72,2,7,2,62.7,55.0,5.7,5.72,3.58,2693.8
0.3,2,5,4,60.7,57.0,4.34,4.29,2.62,672.8
0.3,2,6,6,61.6,56.0,4.32,4.35,2.67,907.8
0.29,4,7,6,59.1,61.0,4.33,4.37,2.57,678.0
1.0,4,6,2,63.2,56.0,6.33,6.36,4.01,4259.2
1.17,2,4,5,61.7,57.0,6.71,6.75,4.15,9512.8
1.56,4,3,6,63.3,58.0,7.3,7.35,4.64,11817.6
0.56,2,6,3,62.7,57.0,5.27,5.23,3.29,1659.0
0.41,4,2,2,63.5,57.0,4.72,4.7,2.99,746.4
1.53,4,2,5,62.8,55.0,7.35,7.4,4.63,8900.8
0.52,4,1,3,62.5,59.0,5.14,5.16,3.22,876.2
0.4,2,1,3,61.4,55.0,4.75,4.8,2.93,813.2
1.0,5,5,4,59.0,59.0,6.54,6.51,3.85,6066.8
0.36,2,5,5,61.5,55.0,4.57,4.61,2.82,949.2
0.41,2,6,4,61.8,57.0,4.76,4.78,2.95,983.8
0.9,5,3,3,61.4,60.0,6.13,6.08,3.75,4164.2
1.59,5,4,3,62.3,60.0,7.49,7.42,4.64,9262.6
1.03,5,4,5,62.2,59.0,6.41,6.46,4.0,6501.6
0.38,5,4,5,61.9,56.0,4.68,4.63,2.88,1036.4
0.74,2,6,2,59.2,59.0,5.92,5.97,3.52,2891.2
1.5,4,4,3,63.1,59.0,7.22,7.27,4.57,9397.4
1.01,3,6,3,59.3,64.0,6.47,6.49,3.84,4330.8
1.71,5,3,4,62.5,58.0,7.64,7.52,4.74,11447.8
0.9,4,4,4,61.3,59.0,6.15,6.21,3.79,4852.4
1.09,2,4,2,61.2,57.0,6.63,6.68,4.07,4527.4
0.78,4,6,5,60.0,56.0,6.0,6.03,3.61,3656.0
0.32,2,7,4,61.5,56.0,4.41,4.44,2.72,917.2
0.3,2,5,8,62.0,56.0,4.31,4.33,2.68,992.8
1.01,5,4,3,58.8,58.0,6.59,6.51,3.85,5232.8
0.32,2,7,6,61.7,55.0,4.39,4.42,2.72,1012.4
1.05,5,3,4,62.7,59.0,6.49,6.43,4.05,5424.6
0.9,2,3,3,61.1,58.0,6.24,6.19,3.79,3361.4
0.54,2,4,7,62.2,56.0,5.2,5.22,3.24,2051.8
1.5,2,6,3,62.6,56.0,7.27,7.3,4.56,12366.2
1.01,3,7,3,62.9,57.0,6.34,6.37,4.0,4232.8
1.76,2,5,2,62.6,55.0,7.69,7.64,4.8,10224.0
1.01,1,5,4,65.2,52.0,6.31,6.29,4.11,5197.8
1.03,2,3,2,60.5,57.0,6.58,6.52,3.96,4018.0
0.3,2,6,7,60.1,57.0,4.38,4.41,2.64,907.4
2.03,2,4,2,62.5,56.0,8.1,8.05,5.05,15130.0
0.54,5,2,7,60.8,61.0,5.28,5.22,3.19,957.8
1.01,5,7,2,58.3,59.0,6.67,6.63,3.88,3939.6
1.51,1,2,1,65.1,57.0,7.16,7.12,4.65,5676.0
0.56,4,6,5,62.7,60.0,5.25,5.28,3.3,2232.4
0.47,5,4,4,61.0,59.0,5.03,5.0,3.06,1037.0
0.9,4,4,2,61.1,55.0,6.21,6.26,3.81,3673.2
0.57,5,6,4,61.0,58.0,5.34,5.31,3.25,1822.2
0.36,2,4,6,61.8,55.0,4.57,4.62,2.84,791.0
0.9,5,3,4,61.2,61.0,6.21,6.14,3.78,5114.2
0.8,3,5,4,60.5,62.3,5.97,6.01,3.62,3658.2
0.5,2,6,6,61.7,55.7,5.09,5.12,3.13,2363.8
1.16,4,2,3,62.7,57.0,6.67,6.76,4.21,5297.4
0.54,2,4,2,62.3,58.0,5.17,5.2,3.23,1362.4
0.23,5,6,6,61.8,58.0,3.94,3.92,2.43,948.8
0.96,5,7,2,59.1,58.0,6.53,6.44,3.83,4223.0
0.38,2,6,4,61.9,57.0,4.61,4.66,2.87,954.8
0.32,2,4,6,61.2,56.0,4.42,4.41,2.7,762.6
0.71,2,7,6,61.6,56.0,5.69,5.77,3.53,5009.8
1.05,5,5,5,62.3,55.0,6.57,6.49,4.07,6903.2
1.16,5,4,6,60.0,59.0,6.89,6.82,4.11,9462.0
0.9,4,7,3,63.0,58.0,6.11,6.14,3.86,4507.8
0.41,3,5,4,59.7,63.0,4.8,4.85,2.88,1033.8
0.71,4,2,2,61.9,54.0,5.67,5.74,3.53,2064.4
0.74,4,3,5,62.3,56.0,5.75,5.78,3.59,3256.4
0.73,5,2,5,61.2,59.0,5.82,5.84,3.57,2367.2
1.16,2,3,2,61.1,56.0,6.78,6.79,4.15,5513.0
1.57,1,3,5,67.3,66.0,7.85,5.75,3.87,6273.8
0.3,4,7,4,62.9,58.0,4.23,4.26,2.67,644.2
0.58,2,5,2,60.9,56.0,5.42,5.39,3.29,1249.4
0.32,4,7,4,62.0,57.0,4.38,4.42,2.73,678.0
1.51,2,2,3,62.7,57.0,7.35,7.3,4.59,8209.4
0.7,5,4,3,62.0,61.0,5.67,5.62,3.5,2084.0
0.88,2,6,2,62.2,57.0,6.08,6.2,3.82,3526.8
0.7,2,4,3,62.2,56.0,5.72,5.69,3.55,2456.6
0.25,2,5,7,62.3,56.0,4.01,4.03,2.5,822.0
0.7,4,5,4,62.4,59.0,5.64,5.71,3.54,2703.0
1.07,2,4,2,61.7,57.0,6.55,6.59,4.05,4932.4
0.39,1,4,8,57.1,61.0,4.83,4.88,2.77,1571.2
1.55,2,5,4,61.8,54.0,7.44,7.48,4.61,16548.2
1.18,2,2,4,62.3,56.0,6.76,6.73,4.21,5701.4
1.21,5,3,3,61.8,58.0,6.83,6.79,4.21,5848.8
0.27,2,2,5,62.1,54.0,4.16,4.18,2.59,481.4
0.35,2,3,6,62.5,57.0,4.54,4.48,2.82,712.0
0.7,2,3,4,62.4,56.0,5.63,5.72,3.54,2635.8
0.91,5,2,4,62.4,61.0,6.18,6.16,3.85,3108.2
0.33,2,7,4,62.6,56.0,4.43,4.39,2.76,815.6
2.14,5,2,3,61.3,61.0,8.32,8.28,5.09,15137.6
1.2,5,2,4,62.6,58.0,6.77,6.72,4.22,5404.2
0.3,4,3,7,62.6,56.0,4.25,4.28,2.67,617.2
0.5,2,2,3,59.8,59.0,5.18,5.15,3.09,1292.2
0.55,2,4,4,62.2,54.0,5.27,5.28,3.28,1612.4
2.01,4,3,4,63.5,59.0,7.92,7.86,5.01,17110.8
0.3,2,3,6,61.3,57.0,4.33,4.31,2.65,673.4
1.65,5,7,3,60.4,60.0,7.63,7.58,4.59,12381.6
0.26,4,5,4,62.4,58.0,4.06,4.08,2.54,636.0
0.42,2,7,5,61.1,57.0,4.84,4.81,2.95,1106.6
0.5,5,5,6,61.9,58.0,5.07,5.1,3.15,1764.2
1.09,2,4,4,62.4,55.0,6.61,6.56,4.11,7124.0
0.41,5,4,3,61.3,58.0,4.76,4.8,2.93,757.2
1.06,5,5,3,58.4,61.0,6.73,6.69,3.92,4856.8
1.49,1,5,3,59.6,63.0,7.2,7.34,4.33,6770.6
0.37,4,5,4,59.2,61.0,4.63,4.69,2.76,957.4
0.4,4,7,4,63.5,55.0,4.69,4.66,2.97,1393.6
0.9,4,6,3,62.2,60.0,6.14,6.17,3.83,3992.0
0.35,4,3,3,61.3,55.0,4.55,4.58,2.8,787.0
1.51,4,6,4,62.4,59.0,7.26,7.36,4.56,13375.0
1.08,5,4,3,59.4,60.0,6.7,6.63,3.96,4888.0
0.38,2,5,5,62.4,54.0,4.64,4.68,2.91,787.0
1.06,2,2,4,61.4,57.0,6.57,6.52,4.02,5047.6
0.51,2,6,4,61.5,55.0,5.23,5.14,3.19,1798.8
1.0,1,5,3,64.8,58.0,6.26,6.21,4.04,4364.2
0.32,2,5,4,60.3,55.0,4.45,4.4,2.67,775.6
1.02,5,5,4,62.4,59.0,6.4,6.45,4.01,6826.6
0.42,5,3,4,62.1,57.0,4.8,4.76,2.97,647.0
1.02,5,4,2,62.3,58.1,6.41,6.38,4.0,4202.6
0.31,4,5,4,63.4,56.0,4.32,4.29,2.73,729.8
0.9,3,6,3,63.9,57.0,6.12,6.08,3.9,4468.4
1.05,2,5,4,59.1,57.0,6.67,6.66,3.94,6340.4
0.9,3,5,3,58.0,58.0,6.24,6.28,3.63,4227.4
0.33,2,7,6,60.9,57.0,4.46,4.48,2.72,942.6
0.4,4,6,5,60.1,58.0,4.72,4.76,2.85,666.0
1.37,2,4,2,62.8,57.0,7.12,7.06,4.45,5538.8
0.72,2,5,8,62.0,57.0,5.71,5.78,3.56,3759.6
1.08,2,2,4,61.6,56.0,6.63,6.59,4.07,5054.8
0.35,5,6,8,59.0,61.0,4.64,4.62,2.73,1345.2
2.02,5,3,2,61.5,58.0,8.14,8.1,4.99,15761.0
1.88,3,1,2,57.9,59.0,8.16,8.11,4.71,12353.0
1.52,2,3,4,61.8,55.1,7.38,7.42,4.58,10196.6
1.01,2,4,3,62.2,55.0,6.44,6.46,4.01,5318.8
0.56,2,4,5,60.7,57.0,5.27,5.34,3.22,2022.4
0.96,5,6,2,62.8,60.0,6.3,6.24,3.94,4123.4
0.34,4,6,3,63.4,55.0,4.46,4.44,2.82,711.4
0.8,2,6,3,61.1,56.0,5.98,6.01,3.66,3097.4
0.3,2,7,5,61.0,57.0,4.31,4.32,2.63,864.4
0.54,2,6,4,61.8,57.0,5.23,5.26,3.24,1775.8
0.71,3,4,4,63.5,59.0,5.63,5.67,3.59,3212.4
1.01,4,5,4,61.5,57.0,6.4,6.48,3.96,6058.2
1.02,2,2,2,62.8,58.0,6.37,6.41,4.01,4197.4
2.01,4,2,4,62.1,60.0,7.96,8.01,4.96,15511.6
0.33,2,4,5,62.4,56.0,4.43,4.45,2.77,667.6
0.44,2,4,3,62.7,57.0,4.82,4.85,3.03,869.6
0.31,4,6,7,62.3,59.0,4.32,4.38,2.71,587.6
0.26,4,4,6,62.6,56.0,4.1,4.13,2.57,565.4
1.58,2,6,3,61.0,57.0,7.5,7.55,4.59,12994.2
0.32,2,6,2,61.6,56.0,4.4,4.43,2.72,521.0
0.31,3,4,3,63.3,57.0,4.3,4.33,2.73,503.2
0.75,4,3,2,61.9,56.0,5.79,5.87,3.61,2355.0
0.39,4,3,6,62.4,57.0,4.67,4.7,2.92,656.4
0.41,2,6,6,62.8,54.0,4.77,4.72,2.98,1232.8
0.54,2,2,8,61.6,53.0,5.26,5.3,3.25,1315.4
0.55,2,7,6,61.5,56.0,5.26,5.28,3.24,2765.6
0.35,2,3,7,62.6,57.0,4.47,4.45,2.79,870.8
1.82,4,4,2,61.3,58.0,7.83,7.94,4.83,10173.2
0.72,2,1,5,61.1,56.0,5.84,5.82,3.56,1865.4
1.52,3,2,3,64.0,58.0,7.2,7.27,4.63,9071.6
0.4,3,5,7,60.6,62.0,4.71,4.73,2.86,1357.6
0.3,5,5,8,61.6,58.0,4.34,4.3,2.66,931.8
1.2,2,3,3,60.8,57.0,6.9,6.88,4.19,6717.0
0.56,1,5,4,57.0,67.0,5.49,5.36,3.09,2064.4
0.54,2,3,6,61.8,56.0,5.25,5.27,3.25,1818.8
1.55,2,4,5,62.0,57.0,7.37,7.42,4.58,14020.4
1.33,3,7,2,59.0,64.0,7.22,7.12,4.23,4975.6
0.37,5,3,4,61.4,58.0,4.64,4.61,2.84,748.8
0.37,5,7,4,60.5,59.0,4.66,4.69,2.83,919.0
1.01,2,5,2,61.3,57.0,6.4,6.35,3.91,4423.4
1.19,4,7,2,63.5,57.0,6.67,6.75,4.26,4798.4
0.9,4,2,3,60.5,58.0,6.22,6.27,3.78,2940.0
0.32,2,6,8,62.6,55.0,4.38,4.41,2.75,1212.6
0.67,3,1,5,64.2,55.6,5.54,5.57,3.57,1469.6
0.4,3,7,4,63.5,55.0,4.66,4.69,2.97,955.8
0.35,4,4,8,62.6,59.0,4.43,4.49,2.79,1305.2
0.25,2,6,6,62.1,57.0,4.04,4.07,2.52,739.2
2.38,5,3,5,60.9,59.0,8.62,8.59,5.24,16851.6
2.03,5,1,3,62.1,59.0,8.12,8.06,5.02,12830.2
1.08,2,6,7,61.0,56.0,6.66,6.62,4.05,12474.2
0.71,2,6,3,60.8,57.0,5.8,5.84,3.54,2888.0
1.01,5,5,2,61.3,60.0,6.43,6.4,3.93,4050.6
0.61,4,2,4,62.7,57.0,5.39,5.42,3.39,1544.8
0.3,2,2,3,61.5,57.0,4.3,4.35,2.66,459.4
0.48,2,5,7,62.0,55.0,4.99,5.04,3.11,1454.8
0.43,2,7,3,61.5,56.0,4.87,4.82,2.98,904.6
0.7,5,7,5,61.0,59.0,5.79,5.72,3.51,2955.2
2.17,2,2,3,60.4,56.0,8.36,8.43,5.07,15743.0
0.7,3,4,4,62.1,61.0,5.68,5.69,3.53,2455.2
1.73,2,5,5,62.1,57.0,7.73,7.64,4.77,17431.6
1.5,4,1,5,61.3,59.0,7.36,7.41,4.53,8635.8
0.75,5,2,3,62.5,58.0,5.77,5.82,3.62,2309.4
0.71,3,5,4,63.8,58.0,5.61,5.64,3.59,1899.4
1.0,4,4,5,59.4,59.0,6.52,6.54,3.88,6754.4
1.02,3,3,2,57.9,61.0,6.75,6.68,3.89,3831.8
0.7,5,6,3,60.7,58.0,5.74,5.73,3.48,2776.4
0.5,2,6,7,61.9,58.0,5.07,5.11,3.15,1620.0
2.15,5,3,2,62.8,58.0,8.22,8.17,5.15,13918.8
0.34,2,4,6,61.1,57.0,4.48,4.52,2.75,850.2
0.84,4,2,6,61.7,56.0,6.03,6.07,3.74,2922.4
1.01,4,7,2,64.0,56.0,6.3,6.38,4.06,4158.6
0.51,5,6,2,61.8,58.0,5.11,5.08,3.15,1223.4
0.56,2,7,3,62.3,56.0,5.26,5.33,3.3,1732.8
0.35,2,5,4,61.4,55.0,4.55,4.6,2.81,784.8
1.05,5,7,3,61.6,61.0,6.55,6.5,4.02,5607.0
0.46,2,6,4,62.1,57.0,4.93,4.89,3.05,1118.4
1.54,5,4,5,61.1,56.0,7.54,7.48,4.59,13204.8
0.3,2,5,7,61.6,55.0,4.33,4.37,2.68,846.0
0.7,2,4,2,61.8,53.0,5.73,5.69,3.53,1804.4
0.31,3,3,5,64.0,59.0,4.25,4.28,2.73,762.4
0.4,4,6,6,63.6,55.0,4.67,4.7,2.98,719.6
1.01,2,7,3,60.8,56.0,6.54,6.48,3.96,5896.4
0.51,4,4,6,63.5,56.0,5.11,5.07,3.23,1251.6
0.9,1,7,4,57.5,66.0,6.3,6.25,3.61,3494.0
0.32,5,6,3,60.1,60.0,4.47,4.42,2.67,645.0
0.3,5,5,3,62.1,60.0,4.28,4.26,2.65,704.4
0.47,2,1,3,61.9,55.0,5.0,5.05,3.11,929.6
0.31,4,7,3,62.1,58.0,4.3,4.33,2.68,699.2
0.58,2,4,8,61.3,56.0,5.36,5.39,3.29,2308.2
0.4,2,5,7,61.3,56.0,4.76,4.73,2.91,1229.4
0.23,4,6,7,61.3,58.0,3.94,3.96,2.42,615.4
1.14,2,2,3,62.2,56.0,6.65,6.7,4.15,4990.2
0.58,5,5,4,62.2,55.0,5.4,5.31,3.33,1864.0
1.37,5,1,2,60.7,60.0,7.19,7.07,4.33,4442.2
2.25,2,2,2,60.5,56.0,8.49,8.54,5.15,13965.8
1.09,2,5,3,62.0,56.0,6.56,6.61,4.08,5549.6
1.01,4,5,3,63.3,59.0,6.42,6.38,4.05,5044.2
1.59,5,7,2,59.4,61.0,7.62,7.56,4.51,10251.6
0.51,4,4,6,61.5,56.0,5.12,5.15,3.16,1140.0
0.51,5,3,2,62.9,56.0,5.08,5.06,3.19,1376.2
0.32,2,6,4,62.1,55.0,4.36,4.4,2.72,768.6
0.7,3,7,4,64.1,59.0,5.56,5.49,3.54,2682.8
1.24,5,6,2,60.8,57.0,6.98,6.94,4.23,6256.6
0.44,3,1,5,63.1,57.0,4.83,4.87,3.06,545.8
0.42,4,7,5,60.7,60.0,4.81,4.88,2.94,873.4
1.01,5,5,4,62.8,59.0,6.41,6.33,4.0,6619.6
0.51,5,5,5,60.9,57.0,5.27,5.17,3.18,1218.6
1.0,1,6,3,66.3,62.0,6.27,6.06,4.09,4023.6
0.52,4,4,3,60.6,61.0,5.17,5.19,3.14,1005.6
0.9,2,4,3,61.9,55.0,6.18,6.23,3.84,3978.8
0.42,2,4,5,61.0,56.0,4.82,4.86,2.95,978.0
0.3,4,7,3,60.6,60.0,4.3,4.32,2.61,761.2
0.93,5,5,2,59.5,60.0,6.39,6.36,3.79,3826.0
1.23,2,3,2,61.4,54.0,6.95,6.94,4.26,5637.8
0.56,2,6,4,60.9,56.0,5.35,5.32,3.25,1825.0
0.32,3,3,3,63.5,57.0,4.34,4.39,2.77,486.6
0.24,2,5,7,60.8,55.0,4.03,4.06,2.46,913.0
1.1,5,7,2,62.4,58.0,6.57,6.6,4.11,4295.4
0.53,4,6,5,63.0,56.0,5.13,5.16,3.24,1566.2
2.01,4,6,2,62.0,61.0,8.04,8.1,5.0,17374.2
1.3,5,3,2,61.3,58.0,6.99,6.95,4.27,5687.8
2.0,4,3,3,60.9,58.0,8.07,8.15,4.94,17151.0
1.02,3,7,2,58.9,65.0,6.59,6.54,3.87,4222.4
1.0,5,6,2,58.5,59.0,6.62,6.51,3.84,4484.6
2.0,5,3,2,62.1,60.0,8.1,8.01,5.3,13750.2
0.3,5,7,4,60.9,58.0,4.35,4.32,2.64,836.2
0.71,4,6,6,61.7,60.0,5.7,5.74,3.53,3055.6
1.0,2,4,5,62.5,54.0,6.4,6.44,4.01,7191.0
1.2,3,5,5,64.0,56.0,6.63,6.58,4.23,6090.8
0.43,5,4,4,61.2,58.0,4.9,4.84,2.98,965.4
1.09,1,2,3,56.4,62.0,6.97,6.9,3.9,4624.0
0.72,2,4,5,62.7,55.0,5.71,5.68,3.57,2099.0
1.07,5,6,2,61.3,59.0,6.64,6.58,4.05,4484.4
1.07,5,5,2,58.2,58.0,6.79,6.72,3.93,3670.6
0.73,2,7,4,62.3,54.0,5.77,5.8,3.6,3764.4
1.0,4,3,2,61.6,58.0,6.43,6.47,3.97,4238.6
0.74,5,7,5,62.3,58.0,5.79,5.77,3.6,3939.8
0.9,3,6,2,61.9,62.0,6.14,6.18,3.81,3826.8
0.53,2,5,8,61.9,54.0,5.22,5.25,3.24,2063.8
0.98,1,4,1,58.7,57.0,6.54,6.43,3.8,3755.0
0.37,2,3,3,59.7,56.0,4.71,4.67,2.8,909.0
0.36,5,4,5,59.7,59.0,4.61,4.64,2.76,683.8
1.86,5,3,2,62.3,57.0,7.85,7.82,4.88,12137.6
0.4,5,4,3,61.6,59.0,4.72,4.66,2.89,794.6
0.56,2,5,3,61.5,55.0,5.32,5.35,3.28,1377.2
2.01,5,3,3,58.2,62.0,8.26,8.21,4.79,17175.2
0.78,4,3,5,61.9,57.1,5.87,5.95,3.66,3373.6
0.32,5,7,3,60.4,58.0,4.44,4.47,2.69,716.8
0.43,4,5,4,61.2,59.0,4.84,4.87,2.97,995.2
1.02,5,3,4,61.0,58.0,6.56,6.49,3.98,5359.0
0.52,4,4,5,59.5,58.0,5.21,5.28,3.12,1655.2
0.32,3,3,3,63.4,55.0,4.36,4.38,2.77,513.4
1.15,5,4,3,62.6,58.0,6.71,6.65,4.18,5769.0
1.01,5,5,6,61.8,59.0,6.46,6.42,3.98,9021.4
1.02,4,1,2,63.4,56.0,6.42,6.36,4.05,3704.8
1.02,5,5,5,61.9,58.0,6.45,6.5,4.01,7986.8
0.71,2,6,6,62.0,53.9,5.73,5.77,3.57,3773.2
0.32,2,6,4,62.1,55.0,4.39,4.43,2.74,768.6
0.7,2,2,3,62.5,55.0,5.7,5.73,3.57,1829.6
0.7,2,1,2,61.4,55.0,5.72,5.75,3.52,1529.8
2.04,2,2,3,60.2,56.0,8.19,8.26,4.95,15957.4
0.52,4,4,3,61.7,57.0,5.13,5.16,3.17,1306.4
0.41,4,6,3,61.4,56.0,4.77,4.81,2.94,759.6
2.5,5,3,1,59.9,60.0,8.75,8.67,5.22,13589.0
0.31,5,6,5,60.2,58.0,4.43,4.38,2.65,925.0
1.27,4,2,4,63.3,63.0,6.87,6.82,4.33,5163.2
0.63,5,3,5,61.7,59.0,5.53,5.49,3.4,1736.4
0.4,5,6,3,61.0,59.0,4.71,4.74,2.88,806.0
0.91,4,4,3,60.2,58.0,6.29,6.31,3.79,4386.4
0.31,4,6,3,62.8,57.0,4.32,4.34,2.72,554.2
1.2,5,4,5,62.5,59.0,6.72,6.64,4.19,7509.6
1.5,2,4,5,61.3,53.9,7.37,7.42,4.53,13157.4
0.77,3,7,2,63.8,58.0,5.78,5.81,3.7,3014.8
0.27,4,5,5,60.5,57.0,4.21,4.23,2.55,475.8
2.0,2,3,3,63.9,54.0,7.92,8.0,5.1,17268.6
0.34,2,6,5,62.8,56.0,4.46,4.49,2.81,902.0
0.3,2,6,4,62.3,57.0,4.32,4.29,2.68,751.2
0.32,2,6,4,62.0,55.0,4.38,4.46,2.74,801.6
0.71,4,7,3,63.2,58.0,5.65,5.68,3.58,2574.0
0.35,2,3,6,59.2,56.0,4.6,4.65,2.74,758.8
1.53,5,3,4,59.8,58.0,7.49,7.52,4.49,8947.8
1.06,2,2,2,61.3,56.0,6.59,6.55,4.03,3716.0
0.24,3,5,5,58.3,61.0,4.09,4.14,2.4,1139.8
0.41,4,6,3,63.1,57.0,4.73,4.71,2.98,786.2
0.9,4,7,3,59.4,62.0,6.19,6.24,3.69,4750.0
1.38,5,3,2,60.2,60.0,7.31,7.24,4.37,5767.2
0.31,4,4,4,62.6,57.0,4.3,4.32,2.7,636.6
1.02,5,2,2,61.2,59.0,6.51,6.46,3.97,3747.2
0.83,2,2,3,61.9,57.0,5.96,6.02,3.71,3178.4
1.02,5,5,2,62.0,59.0,6.42,6.33,3.95,4427.6
0.9,5,2,4,58.4,62.0,6.35,6.29,3.69,3861.4
0.4,4,7,4,59.6,58.0,4.8,4.83,2.87,915.2
1.51,1,2,4,58.8,62.0,7.57,7.51,4.43,8493.0
0.41,2,2,8,61.8,55.0,4.77,4.81,2.96,919.2
1.72,5,3,4,61.9,56.0,7.74,7.67,4.77,12663.8
0.27,4,1,6,60.8,57.0,4.16,4.2,2.54,597.6
0.7,5,4,3,62.2,58.0,5.69,5.76,3.56,2294.2
0.32,2,5,6,61.2,55.0,4.43,4.46,2.72,809.6
2.05,2,3,3,62.4,57.0,8.14,8.08,5.06,17324.4
0.77,5,1,4,62.3,58.0,5.86,5.8,3.63,1698.8
